PayeeCustomerAccount,y,Sales3,Sales14,Sales27,Sales35,Sales36,Sales48,tier3,tier14,tier27,tier35,tier36,tier48,n_zeros,tier_gap,prods,State,City,pct_ret,Florfenicol_Family,Reproduction_Hormones,Total_Bios,All_Other,Panacur_Safeguard,Total_Implants,Zuprevo,Mastitis,Biologicals,Pharmaceuticals,manual_sales,enrol_batch,inh_tier,cluster
0010011502,2,118.77,2576.4,4663.22,4663.22,5127.94,5365.14,0,0,0,0,1,1,1,0.018257912895644754,7,TX,City 12797,0.021657904670207936,3244.2,0,801.12,394.28,0,925.54,0,0,0,0,0,3,2,4
0010378395,1,1104.5,1885.5,6068.6,8545.46,11330.24,11330.24,0,0,1,1,1,1,1,0.31652782639131954,8,FL,City 3459,-0,0,0,57.75,73.9,7818.389999999999,3380.2,0,0,0,0,0,3,1,5
0010010224,1,2763.3,4028.06,7195.88,7195.88,7195.88,7624.79,0,0,1,1,1,1,2,0.13124606230311514,6,WI,City 900,-0,0,6429.62,368.58,826.59,0,0,0,0,0,0,0,3,1,4
0010332540,3,483,2711.5,6687.92,9106.22,8733.78,10136.33,0,0,1,1,1,1,0,0.25682934146707337,7,MO,City 14253,0.09362310935453151,980.05,0,4618.78,0,0,0,4537.5,0,0,0,0,3,2,4
0010171378,3,5464.6,10064.36,16470.26,15254.98,12701.5,14685.47,1,1,1,1,1,1,0,0.48429771488574425,15,KS,City 9501,0.36060476102360917,7087.75,0,1992.1599999999999,634.98,1072.92,4850.2,-952.54,0,0,0,0,3,3,4
0010188822,1,3328.34,6457.24,9389.05,10909.48,12728.64,13995.83,0,1,1,1,1,1,0,0.449813990699535,8,MI,City 11604,-0,4028.91,8707.67,859.94,327.49,0,0,0,0,71.82,0,0,3,1,5
0010256582,1,1734.71,2544.82,3518.93,5060.8,5917.1,7537.55,0,0,0,1,1,1,0,0.12688384419220963,6,CA,City 12756,0.16826116701977403,1297.32,5473.55,0,766.6800000000001,0,0,0,0,0,0,0,3,1,5
0010088299,2,1190.33,2967.4,2967.4,3156.14,3156.14,9615.06,0,0,0,0,0,1,2,0.23076453822691131,9,IA,City 4200,-0,370.66,0,3631.62,79.76,2389.42,3143.6,0,0,0,0,0,3,1,1
0010295724,3,14089.72,21904.49,27662.39,34084.65,35930.14,39681.3,1,1,2,2,2,2,0,0.5872754910196409,15,IA,City 6253,-0,2133.76,0,9988.58,363.61,0,8184.3,19011.05,0,0,0,0,3,4,5
0010079487,2,0,0,0,0,0,2349,0,0,0,0,0,0,5,0.46989397879575917,2,NE,City 12664,-0,0,360,1989,0,0,0,0,0,0,0,1,3,2,1
